"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"HDFCAMC",17371,158845,176216,138615.65607,16374.3414,154989.99747,47390,2593
"MARUTI",17644,252883,270527,141432.778355,13334.838335,154767.61669,153267,15877
"MIDCPNIFTY",6104,492895,498999,100890.82129200001,51084.508128,151975.32942,183364,13697.85
"TECHM",13390,121100,134490,133159.77312,17975.37498,151135.1481,52069,1672
"JIOFIN",20871,111158,132029,139478.32236,7983.897285,147462.219645,143656,277.95
"SHRIRAMFIN",15800,94450,110250,131438.69706,13400.4986775,144839.1957375,90210,996.95
"CANBK",12572,46831,59403,132684.6096,8423.243325,141107.852925,53552,157.03
"BEL",21209,125251,146460,124604.6438025,9615.442005,134220.0858075,167050,410.6
"HINDZINC",13946,117342,131288,109754.885135,21635.47323,131390.358365,105654,635.5
"BHARTIARTL",12273,97567,109840,117385.1198475,7577.7044975,124962.824345,168702,2018
"BANKBARODA",11890,80275,92165,107978.49621,11188.030815,119166.527025,62230,307.75
"KOTAKBANK",13402,32894,46296,113298.3964,3487.0162,116785.4126,135590,418.7
"HAL",15426,99086,114512,102425.39637,8220.23628,110645.63265,131346,4434.9
"NATIONALUM",7157,38861,46018,97846.443,9885.932625,107732.375625,39419,361.5
"AXISBANK",12389,62898,75287,100524.49725,5653.4889375,106177.9861875,209836,1296
"HDFCLIFE",12113,79651,91764,97481.97613,5859.80087,103341.777,55739,733.5
"M&M",12847,71480,84327,94962.54758,5562.4389,100524.98648,126254,3660
"UNIONBANK",11295,98764,110059,89105.666565,11301.6610725,100407.3276375,41377,176.1
"HCLTECH",15680,119747,135427,92809.5294,7438.44822,100247.97762,90918,1696.5
"HINDALCO",13713,75340,89053,90526.56739,6432.68703,96959.25442,127799,932
"WIPRO",11181,59790,70971,89302.9068,7556.2065,96859.1133,62651,266.8
"LTIM",9119,68979,78098,86119.95183,10363.285845,96483.237675,29498,6300
"BAJFINANCE",12773,66463,79236,91649.721825,4653.283575,96303.0054,202911,951
"TATASTEEL",8272,68708,76980,86215.94575,10045.32485,96261.2706,98584,188
"LTF",13125,43934,57059,87825.89385,5756.508225,93582.402075,50152,296.25
